EVENT_ID,YEAR,MONTH_NAME,TOR_F_SCALE,STATE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
226404,2010,June,EF0,IOWA,42.7036,-94.3504,42.7109,-94.3346,0,0,0,0,0.00K
220465,2010,May,EF0,KANSAS,37.3139,-96.5034,37.3167,-96.5,0,0,0,0,0.00K
218965,2010,May,EF1,TENNESSEE,35.6989,-87.8503,35.7247,-87.731,0,0,0,0,150.00K
218754,2010,May,EF1,TENNESSEE,36.3308,-86.6444,36.3858,-86.5846,0,0,0,0,450.00K
226407,2010,June,EF0,IOWA,42.691,-93.9556,42.6817,-93.9183,0,0,0,0,0.00K
232519,2010,April,EF3,ALABAMA,34.2035,-86.3858,34.3181,-86.1085,35,0,0,0,14.00M
220740,2010,May,EF0,KANSAS,38.23,-97.66,38.2398,-97.6338,0,0,0,0,0.00K
220741,2010,May,EF0,KANSAS,37.8292,-97.7898,37.8368,-97.7801,0,0,0,0,0.00K
219120,2010,May,EF2,TENNESSEE,35.8921,-87.5126,35.9101,-87.4467,0,0,0,0,200.00K
220949,2010,May,EF0,KANSAS,37.67,-98.37,37.6643,-98.3579,0,0,0,0,
234196,2010,May,EF2,SOUTH DAKOTA,43.3756,-99.8664,43.3844,-99.811,0,0,0,0,80.00K
233748,2010,May,EF1,WISCONSIN,44.195,-88.738,44.196,-88.724,0,0,0,0,10.00K
228013,2010,May,EF0,TEXAS,36.23,-102.3735,36.244,-102.3025,0,0,0,0,0.00K
228016,2010,May,EF0,TEXAS,36.42,-102.106,36.4243,-102.0877,0,0,0,0,0.00K
228018,2010,May,EF0,TEXAS,36.3235,-101.4275,36.3241,-101.4177,0,0,0,0,0.00K
221310,2010,April,EF3,ALABAMA,34.5256,-85.5888,34.5474,-85.5183,0,0,0,0,1.50M
233277,2010,July,EF0,IOWA,42.98,-93.54,42.9777,-93.5335,0,0,0,0,0.00K
235419,2010,May,EF0,TEXAS,31.3198,-101.6189,31.3198,-101.607,0,0,0,0,
234414,2010,May,EF0,TEXAS,32.4975,-97.0261,32.4857,-97.0119,0,0,0,0,0.00K
234427,2010,May,EF0,TEXAS,31.81,-96.77,31.81,-96.77,0,0,0,0,0.00K
228025,2010,May,EF0,TEXAS,36.07,-100.82,36.0719,-100.8002,0,0,0,0,0.00K
219257,2010,May,EF1,ARKANSAS,35.1853,-91.0762,35.2041,-91.0417,0,0,0,0,300.00K
235014,2010,June,EF0,TEXAS,35.9042,-101.73,35.9057,-101.7202,0,0,0,0,0.00K
225632,2010,June,EF0,IOWA,41.3179,-93.8068,41.3211,-93.7961,0,0,0,0,0.00K
219533,2010,March,EF1,NORTH CAROLINA,35.2346,-81.0166,35.2363,-81.0155,0,0,0,0,1.10M
220433,2010,April,EF0,KANSAS,38.8387,-100.3613,38.8443,-100.3549,0,0,0,0,0.00K
219838,2010,April,EF0,LOUISIANA,32.92,-92.36,32.924,-92.352,0,0,0,0,0.00K
219757,2010,April,EF0,TEXAS,33.1541,-94.1611,33.2003,-94.0429,0,0,0,0,5.00K
218497,2010,March,EF1,NORTH CAROLINA,35.9616,-80.0785,35.9726,-80.0726,0,0,0,0,750.00K
218502,2010,March,EF1,NORTH CAROLINA,36.2677,-78.9007,36.3111,-78.8518,0,0,0,0,250.00K
218501,2010,March,EF3,NORTH CAROLINA,36.0049,-80.0396,36.0447,-80.002,0,0,0,0,10.00M
219773,2010,April,EF0,TEXAS,32.938,-95.2291,32.9505,-95.2054,0,0,0,0,10.00K
219769,2010,April,EF0,TEXAS,33.0808,-94.2455,33.0971,-94.1649,0,0,0,0,0.00K
219777,2010,April,EF0,TEXAS,32.818,-95.451,32.854,-95.392,3,0,0,0,75.00K
